iter	RMSE
637	323.8805354
638	322.7717803
639	322.4491902
640	321.8149383
641	321.2875399
642	321.0857305
643	320.6648714
644	320.026325
645	319.1698088
646	318.8021806
647	318.1468557
648	317.9141402
649	317.5208424
650	316.8145408
651	316.2393735
652	315.5723811
653	315.0741351
654	314.6486622
655	314.4807521
656	313.9718071
657	313.2304998
658	312.5992364
659	312.0762161
660	311.9976081
661	311.6765166
662	310.8578917
663	310.5234599
664	309.3298659
665	308.2449261
666	307.6155022
667	307.0680424
668	306.4379544
669	305.9176961
670	305.0992314
671	304.1883212
672	303.6833076
673	303.2003904
674	302.9052464
675	302.3794575
676	302.0195277
677	301.7682749
678	301.0775001
679	300.5573976
680	300.0776315
681	299.5686298
682	299.2314749
683	298.6561524
684	298.5802435
685	297.7968469
686	297.2240069
687	296.7617155
688	296.2884055
689	295.3912323
690	295.1954307
691	295.1386881
692	294.8623789
693	294.6973966
694	293.8857673
695	293.5301633
696	293.1719814
697	293.0412682
698	292.1247687
699	290.9975564
700	290.5743078
701	290.3344202
702	289.6786011
703	289.5289969
704	288.898767
705	288.2598175
706	287.5217383
707	286.8327432
708	286.3683431
709	285.510723
710	284.7071141
711	283.9561569
712	283.6584556
713	283.5709663
714	283.3188971
715	282.7113643
716	282.3824388
717	281.9314375
718	281.5904743
719	281.439626
720	281.3207649
721	281.1638392
722	280.1984894
723	280.1142975
724	279.5557891
725	279.188451
726	279.1410279
727	278.8899227
728	278.3291893
729	277.4938461
730	277.2456318
731	276.5745108
732	276.1462018
733	275.467857
734	274.7784286
735	274.6274401
736	274.1788969
737	273.7098612
738	273.3604419
739	272.6949926
740	272.2041845
741	271.8978234
742	271.5359013
743	271.0964399
744	271.045292
745	270.4151739
746	269.9870785
747	269.5198515
748	268.5574273
749	268.1477444
750	267.3642615
751	266.8377251
752	266.0830888
753	265.6325786
754	265.3071099
755	264.8853101
756	264.2424126
757	263.9980409
758	263.3699463
759	262.7446186
760	262.4178821
761	261.9393719
762	261.5200166
763	261.3602567
764	260.8129749
765	260.1362581
766	259.4370356
767	258.9785025
768	258.6116029
769	257.7934316
770	257.3221047
771	256.8739223
772	256.7542499
773	256.5506163
774	256.2878101
775	255.453213
776	255.0873177
777	254.5858066
778	254.0322838
779	253.5109969
780	253.1289627
781	252.3504102
782	251.8787904
783	251.0641624
784	250.6729009
785	249.914442
786	249.5129386
787	249.1647189
788	248.7210038
789	248.2904173
790	247.6949427
791	247.2281171
792	246.8215032
793	246.4307595
794	246.1352971
795	245.7540199
796	245.5055784
797	245.1579012
798	244.6538285
799	244.1044575
800	243.4312451
801	242.661368
802	242.0774477
803	241.6089009
804	241.2373213
805	240.7989889
806	240.57426
807	240.4897674
808	240.1513579
809	239.7840242
810	239.2464565
811	238.6555067
812	238.240098
813	237.5238952
814	236.6843414
815	236.3556397
816	236.2074658
817	235.4992286
818	234.9101042
819	234.2477485
820	233.7054873
821	233.0862817
822	232.7267121
823	232.5406338
824	232.2035137
825	231.5967129
826	231.3583907
827	230.7559789
828	230.3020865
829	229.8531007
830	229.7404945
831	229.352449
832	228.8282263
833	228.5439171
834	228.2452584
835	227.6539493
836	227.2320126
837	226.9650088
838	226.2669264
839	226.0380872
840	225.8535345
841	225.4469513
842	225.0472344
843	224.5125776
844	223.9760202
845	223.7677788
846	223.3788029
847	222.7856711
848	222.3833968
849	222.2964744
850	222.2366847
851	222.0142534
852	221.6266407
853	221.0830088
854	220.9349148
855	220.5699001
856	220.1825926
857	219.7563342
858	219.4808372
859	219.0872441
860	218.5603113
861	218.1660797
862	217.5659663
863	217.0793065
864	216.7537688
865	216.3486828
866	215.821392
867	215.1584103
868	214.659815
869	214.4703907
870	214.1922684
871	213.9043922
872	213.5216077
873	213.1715561
874	212.818993
875	212.4686839
876	212.1401553
877	211.9323631
878	211.5654736
879	211.1291825
880	211.0084862
881	210.5149714
882	209.93259
883	209.5993792
884	209.214314
885	208.8368693
886	208.1797344
887	207.9368199
888	207.2329651
889	206.6040875
890	206.2039864
891	205.8249765
892	205.5071211
893	205.0086713
894	204.5391219
895	204.2660654
896	203.7154002
897	203.0862373
898	202.993698
899	202.6281736
900	202.3162665
901	201.8406997
902	201.3684779
903	200.9321407
904	200.6597979
905	200.553518
906	200.3175871
907	199.808509
908	199.6255687
909	199.4929104
910	199.0808917
911	198.8157326
912	198.3993609
913	197.91975
914	197.711446
915	197.1700791
916	196.782521
917	196.5055897
918	196.1691987
919	196.0142394
920	195.521413
921	195.0635376
922	194.8315332
923	194.6126472
924	194.1969681
925	194.0268363
926	193.7978373
927	193.4953368
928	193.1058495
929	192.7561269
930	192.3878618
931	192.1348519
932	191.7533023
933	191.3139991
934	191.0772455
935	190.6956082
936	190.409819
937	190.0192703
938	189.8106488
939	189.4624435
940	189.1814527
941	188.6162795
942	188.1671715
943	188.0054084
944	187.8785121
945	187.4654632
946	187.0707687
947	186.5950408
948	186.2783294
949	185.837481
950	185.6378375
951	185.5572016
952	185.3986344
953	185.1628496
954	184.924507
955	184.4547443
956	183.8152682
957	183.4915894
958	183.2086339
959	183.0583874
960	182.6872745
961	182.6674385
962	182.4291328
963	182.0491745
964	181.48849
965	181.1633698
966	180.9114986
967	180.5844965
968	180.4069868
969	179.9934853
970	179.9397666
971	179.6656434
972	179.3629169
973	179.1628684
974	178.7698361
975	178.3537024
976	177.8826508
977	177.5359673
978	177.1831625
979	176.7410778
980	176.5487363
981	176.2401373
982	175.9304454
983	175.6436782
984	175.4551114
985	174.9701279
986	174.5741718
987	174.1790057
988	173.7376845
989	173.3624393
990	173.0589116
991	172.6872309
992	172.3238357
993	172.0271504
994	171.9277221
995	171.7230799
996	171.3907048
997	171.1283319
998	171.0021069
999	170.7022047
